Fecha,casos_reales,casos_modelo_opt
2024-01-01,2.0,0.7737617059553994
2024-01-22,1.0,5.919641022891659
2024-02-12,6.0,15.824527126593772
2024-02-26,1.0,25.105846284871703
2024-03-04,1.0,30.990683528924965
2024-03-18,1.0,34.012369392255096
2024-04-15,3.0,35.0
2024-05-06,1.0,34.58722741426837
2024-05-13,3.0,33.244172975153376
2024-06-03,2.0,31.316209999781105
2024-06-10,35.0,29.054014935695694
2024-06-24,1.0,26.63673686674409
2024-07-08,1.0,24.18981442743567
2024-07-29,1.0,21.798635918720933
2024-08-05,1.0,19.51897753558776
2024-08-12,20.0,17.384948791378875
2024-08-19,1.0,15.415013409648342
2024-09-09,1.0,13.61652791172852
2024-09-16,1.0,11.98914159027181
2024-09-23,1.0,10.527324514178662
2024-10-07,19.0,9.222230149234239
2024-10-21,2.0,8.063052264482325
2024-10-28,1.0,7.037999307918099
2024-11-04,1.0,6.1349810404030904
2024-12-02,4.0,5.342080154397417
2024-12-09,5.0,4.647864517233329
2024-12-16,1.0,4.041582418018837
